No,Start Time,End Time,# Deliveries,Delivery Pay,Tip Amount,Boost Pay,Total Pay,Total Active Time,Shift ID
0,19:21:01 09-13-2020,20:49:42 09-13-2020,3,$17.50,$23.00,$0.00,$40.50,1:05:46,470071168
1,20:50:48 09-13-2020,21:21:55 09-13-2020,1,$10.25,$0.00,$0.00,$10.25,0:28:33,470209810
2,21:41:50 09-13-2020,22:58:53 09-13-2020,4,$15.50,$5.08,$0.00,$20.58,1:08:51,470280026
3,23:39:29 09-13-2020,01:44:08 09-14-2020,5,$23.00,$14.00,$0.00,$37.00,1:34:49,470436995
4,03:11:51 09-15-2020,04:30:27 09-15-2020,5,$17.50,$10.00,$0.00,$27.50,1:03:58,471842477
5,04:30:41 09-15-2020,04:50:20 09-15-2020,1,$5.00,$0.00,$0.00,$5.00,0:16:53,471888615
6,20:37:34 09-15-2020,22:00:33 09-15-2020,1,$6.00,$1.00,$0.00,$7.00,0:50:32,472491699
7,19:25:12 09-16-2020,21:03:16 09-16-2020,1,$5.00,$7.00,$0.00,$12.00,0:25:38,473527776
8,22:18:44 09-16-2020,23:12:12 09-16-2020,1,$6.00,$0.00,$0.00,$6.00,0:28:08,473761374
9,23:12:24 09-16-2020,23:16:21 09-16-2020,0,$0.00,$0.00,$0.00,$0.00,0:00:00,473889340
10,23:16:51 09-16-2020,23:56:17 09-16-2020,0,$0.00,$0.00,$0.00,$0.00,0:00:00,473908323
11,01:25:53 09-17-2020,03:21:08 09-17-2020,2,$9.75,$12.00,$0.00,$21.75,0:58:40,474242326
12,23:20:42 09-17-2020,02:30:43 09-18-2020,7,$28.00,$17.14,$0.00,$45.14,2:17:18,475254179
13,03:33:55 09-18-2020,03:34:13 09-18-2020,0,$0.00,$0.00,$0.00,$0.00,0:00:00,475571534
14,19:32:44 09-20-2020,20:15:44 09-20-2020,2,$12.50,$7.75,$0.00,$20.25,0:40:45,478608932
15,23:07:30 09-20-2020,01:13:09 09-21-2020,5,$28.00,$20.08,$0.00,$48.08,1:10:05,478666155
